pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
Problem Decomposition,Computer Vision,5,54,54472
Causal Language Modeling,Computer Vision,5,51,54472
Unsupervised Few-Shot Learning,General,5,22,114234
Graph-to-Sequence,Natural Language Processing,5,48,40996
Polyp Segmentation,General,5,10,114234
Atari Games 100k,Computer Vision,5,18,54472
Depth Map Super-Resolution,General,5,28,114234
Audio Source Separation,Natural Language Processing,5,111,40996
Weakly-supervised Anomaly Detection,General,5,32,114234
Air Pollution Prediction,General,5,14,114234
Band Gap,Computer Vision,5,60,54472
De-aliasing,Computer Vision,5,22,54472
Data Integration,Sequential,5,430,6593
Variable misuse,General,5,15,114234
Variable misuse,Natural Language Processing,5,15,40996
Partial Label Learning,Computer Vision,5,85,54472
Biomedical Information Retrieval,Natural Language Processing,5,15,40996
Transliteration,Sequential,5,431,6593
Program Synthesis,Graphs,5,419,12318
Robust classification,Sequential,5,295,6593
Disentanglement,Audio,5,1843,488
Bilevel Optimization,Reinforcement Learning,5,422,6988
Code Documentation Generation,Natural Language Processing,5,8,40996
Video Emotion Recognition,General,5,29,114234
Sketch-Based Image Retrieval,Natural Language Processing,5,110,40996
Zero-shot Text Search,General,5,14,114234
Zero-shot Text Search,Natural Language Processing,5,14,40996
Audio-Visual Question Answering (AVQA),Computer Vision,5,20,54472
Space-time Video Super-resolution,Computer Vision,5,24,54472
Semi-supervised Anomaly Detection,Graphs,5,76,12318
Radar Object Detection,Computer Vision,5,29,54472
Weakly Supervised Action Localization,Computer Vision,5,55,54472
Weakly-supervised Temporal Action Localization,Computer Vision,5,76,54472
Few-shot Instance Segmentation,Computer Vision,5,13,54472
Science Question Answering,Natural Language Processing,5,23,40996
Automatic Machine Learning Model Selection,General,5,8,114234
Probabilistic Deep Learning,Computer Vision,5,79,54472
Persian Sentiment Analysis,General,5,13,114234
zero-shot-classification,Reinforcement Learning,5,421,6988
Detecting Image Manipulation,Computer Vision,5,12,54472
Micro Expression Recognition,Graphs,5,72,12318
Micro-Expression Recognition,Graphs,5,74,12318
Discourse Parsing,Natural Language Processing,5,188,40996
End-To-End Dialogue Modelling,General,5,10,114234
Table Extraction,Computer Vision,5,32,54472
Table Extraction,General,5,32,114234
Unsupervised Instance Segmentation,Computer Vision,5,17,54472
Code Completion,Graphs,5,212,12318
Image Forgery Detection,Computer Vision,5,47,54472
Motion Style Transfer,General,5,16,114234
Image Rescaling,Computer Vision,5,22,54472
Epidemiology,Graphs,5,425,12318
News Classification,Sequential,5,71,6593
Dialogue Evaluation,Computer Vision,5,96,54472
Intent Classification and Slot Filling,Natural Language Processing,5,33,40996
Counterfactual Detection,Reinforcement Learning,5,8,6988
Raspberry Pi 4,Natural Language Processing,5,48,40996
Irregular Time Series,Computer Vision,5,82,54472
Layout Generation,Graphs,5,148,12318
3D human pose and shape estimation,Computer Vision,5,50,54472
distortion correction,General,5,45,114234
Video Compression,Graphs,5,496,12318
software testing,Computer Vision,5,134,54472
Grasp Generation,General,5,51,114234
Question Selection,General,5,30,114234
KG-to-Text Generation,General,5,22,114234
KG-to-Text Generation,Natural Language Processing,5,22,40996
Optic Cup Segmentation,Computer Vision,5,8,54472
3D Object Tracking,Computer Vision,5,66,54472
Emotion-Cause Pair Extraction,General,5,46,114234
Multi-modal Named Entity Recognition,General,5,9,114234
Extreme Multi-Label Classification,Graphs,5,75,12318
Aspect Category Detection,General,5,31,114234
Starcraft II,Graphs,5,173,12318
Fraud Detection,Reinforcement Learning,5,545,6988
Columns Property Annotation,General,5,11,114234
Column Type Annotation,Natural Language Processing,5,34,40996
Cultural Vocal Bursts Intensity Prediction,Reinforcement Learning,5,488,6988
Histopathological Image Classification,Graphs,5,40,12318
Action Triplet Recognition,General,5,12,114234
Weakly Supervised Action Localization,General,5,55,114234
Action Recognition In Videos,Graphs,5,124,12318
Multi-Task Learning,Audio,5,3654,488
3D Multi-Person Mesh Recovery,General,5,12,114234
Protein Design,Graphs,5,175,12318
Elementary Mathematics,General,5,7,114234
Visual Odometry,Reinforcement Learning,5,408,6988
Job Shop Scheduling,Graphs,5,92,12318
Novelty Detection,Graphs,5,249,12318
Low-rank compression,Natural Language Processing,5,34,40996
Drug Design,Reinforcement Learning,5,440,6988
Question Rewriting,General,5,24,114234
Proper Noun,General,5,15,114234
CARLA MAP Leaderboard,General,5,8,114234
CARLA MAP Leaderboard,Reinforcement Learning,5,8,6988
Retrosynthesis,Graphs,5,110,12318
Tensor Networks,Natural Language Processing,5,226,40996
FetchPush-v1,Reinforcement Learning,5,5,6988
Decision Making Under Uncertainty,Computer Vision,5,263,54472
Video Matting,Computer Vision,5,30,54472
Probabilistic Deep Learning,Sequential,5,79,6593
Pseudo Label Filtering,General,5,26,114234
Single Image Deraining,Graphs,5,94,12318
Amodal Instance Segmentation,Computer Vision,5,24,54472
Video deraining,General,5,30,114234
Spoken language identification,Computer Vision,5,50,54472
Land Cover Classification,Graphs,5,151,12318
Camera Relocalization,Computer Vision,5,59,54472
Product Recommendation,Computer Vision,5,132,54472
3D Multi-Person Pose Estimation,Graphs,5,62,12318
Astronomy,Graphs,5,394,12318
Binarization,Graphs,5,430,12318
Entity Typing,Graphs,5,162,12318
Key-value Pair Extraction,General,5,12,114234
Key-value Pair Extraction,Natural Language Processing,5,12,40996
Trajectory Recovery,Computer Vision,5,25,54472
Text Infilling,General,5,42,114234
Text Infilling,Natural Language Processing,5,42,40996
Lesion Detection,Graphs,5,257,12318
Hand Gesture Recognition,Graphs,5,198,12318
STS Benchmark,Natural Language Processing,5,16,40996
STS Benchmark,General,5,16,114234
Audio Source Separation,Audio,5,111,488
Packet Loss Concealment,General,5,19,114234
Short Text Clustering,Natural Language Processing,5,33,40996
Multilingual Word Embeddings,Natural Language Processing,5,56,40996
Image Colorization,Natural Language Processing,5,127,40996
Jet Tagging,Natural Language Processing,5,45,40996
Image Compression,Reinforcement Learning,5,1007,6988
Sensor Modeling,Computer Vision,5,25,54472
Hateful Meme Classification,Computer Vision,5,17,54472
Scene Graph Detection,General,5,11,114234
ROI-based image generation,Computer Vision,5,7,54472
Interpretable Machine Learning,Graphs,5,534,12318
6D Pose Estimation,Graphs,5,255,12318
Interactive Video Object Segmentation,Computer Vision,5,16,54472
Fovea Detection,General,5,8,114234
Comment Generation,Natural Language Processing,5,65,40996
Multi-modal Entity Alignment,General,5,19,114234
Unsupervised Saliency Detection,General,5,12,114234
Photoplethysmography (PPG),Sequential,5,148,6593
Gender Bias Detection,General,5,17,114234
Friction,Reinforcement Learning,5,417,6988
Music Genre Classification,Natural Language Processing,5,56,40996
Weakly-supervised Temporal Action Localization,Graphs,5,76,12318
Robotic Grasping,Graphs,5,246,12318
Human Parsing,Natural Language Processing,5,125,40996
Electrocardiography (ECG),Graphs,5,117,12318
Negation,Graphs,5,600,12318
Prediction Intervals,Reinforcement Learning,5,309,6988
Seizure Detection,Graphs,5,175,12318
Zero-shot Slot Filling,Natural Language Processing,5,20,40996
Open Vocabulary Image Classification,Computer Vision,5,7,54472
Histopathological Image Classification,Natural Language Processing,5,40,40996
Single-object discovery,General,5,10,114234
Linear evaluation,Natural Language Processing,5,128,40996
One-Shot Object Detection,Natural Language Processing,5,20,40996
Co-Salient Object Detection,Natural Language Processing,5,44,40996
3D Place Recognition,Natural Language Processing,5,27,40996
Protein Folding,Reinforcement Learning,5,185,6988
Music Style Transfer,Natural Language Processing,5,13,40996
Clone Detection,Computer Vision,5,68,54472
Transductive Learning,Natural Language Processing,5,134,40996
Anatomy,Reinforcement Learning,5,1132,6988
Vector Graphics,Graphs,5,88,12318
Camera Relocalization,Natural Language Processing,5,59,40996
Camera Pose Estimation,Graphs,5,301,12318
Face Anonymization,General,5,23,114234
Non-Intrusive Load Monitoring,Natural Language Processing,5,99,40996
Single Image Desnowing,Natural Language Processing,5,10,40996
Graph Reconstruction,Graphs,5,88,12318
Discourse Parsing,Graphs,5,188,12318
Aspect Term Extraction and Sentiment Classification,General,5,14,114234
Aspect Term Extraction and Sentiment Classification,Natural Language Processing,5,14,40996
Target Sound Extraction,General,5,16,114234
Dialogue State Tracking,Graphs,5,287,12318
Fact Checking,Reinforcement Learning,5,658,6988
Nonhomogeneous Image Dehazing,General,5,11,114234
Moving Object Detection,General,5,70,114234
DNN Testing,Computer Vision,5,27,54472
Universal Domain Adaptation,Graphs,5,55,12318
Transparent objects,Natural Language Processing,5,117,40996
energy management,Graphs,5,515,12318
Traffic Data Imputation,Graphs,5,23,12318
3D visual grounding,Graphs,5,82,12318
Facial Inpainting,Natural Language Processing,5,60,40996
2D Object Detection,Graphs,5,210,12318
graph construction,Reinforcement Learning,5,558,6988
Grayscale Image Denoising,General,5,13,114234
Material Classification,Natural Language Processing,5,65,40996
Speech-to-Text,Audio,5,401,488
Out-of-Distribution Detection,Reinforcement Learning,5,886,6988
Image Manipulation Localization,Computer Vision,5,31,54472
Commonsense Causal Reasoning,General,5,13,114234
Prognosis,Reinforcement Learning,5,899,6988
Infrared image super-resolution,Computer Vision,5,11,54472
Coherence Evaluation,Natural Language Processing,5,28,40996
Novel View Synthesis,Reinforcement Learning,5,1437,6988
Learning Semantic Representations,Computer Vision,5,38,54472
Pseudo Label,Reinforcement Learning,5,953,6988
Grammatical Error Correction,Computer Vision,5,410,54472
Fact Verification,Reinforcement Learning,5,211,6988
Formality Style Transfer,Natural Language Processing,5,19,40996
L2 Regularization,Natural Language Processing,5,127,40996
Empathetic Response Generation,Computer Vision,5,45,54472
Link Sign Prediction,General,5,21,114234
BraTS2021,General,5,15,114234
Event-Based Video Reconstruction,General,5,12,114234
Split-CIFAR-10,General,5,10,114234
Text-to-Shape Generation,Computer Vision,5,8,54472
Traveling Salesman Problem,Sequential,5,253,6593
PICO,Graphs,5,68,12318
2k,Graphs,5,287,12318
Human Pose Forecasting,Graphs,5,58,12318
Motion Synthesis,Graphs,5,279,12318
Person Search,Graphs,5,138,12318
Video Quality Assessment,Graphs,5,216,12318
Multiple Sequence Alignment,Natural Language Processing,5,54,40996
Multispectral Object Detection,Natural Language Processing,5,38,40996
Video-to-Video Synthesis,Computer Vision,5,18,54472
Text Augmentation,Graphs,5,96,12318
Low-Light Image Enhancement,Graphs,5,315,12318
Trajectory Forecasting,Reinforcement Learning,5,187,6988
3D Open-Vocabulary Instance Segmentation,General,5,14,114234
Zero-shot 3D Point Cloud Classification,General,5,13,114234
3D Instance Segmentation,Graphs,5,153,12318
Anomaly Detection In Surveillance Videos,Natural Language Processing,5,65,40996
Self-Knowledge Distillation,Natural Language Processing,5,68,40996
Gaze Estimation,Graphs,5,248,12318
One-Shot Face Stylization,Computer Vision,5,5,54472
3D-Aware Image Synthesis,General,5,48,114234
Node Regression,Graphs,5,13,12318
Misconceptions,Graphs,5,161,12318
Image Registration,Reinforcement Learning,5,951,6988
Video Instance Segmentation,Graphs,5,147,12318
Data Free Quantization,Graphs,5,37,12318
Unsupervised Few-Shot Image Classification,Graphs,5,28,12318
Emotional Intelligence,Computer Vision,5,77,54472
Efficient Exploration,Graphs,5,513,12318
3D dense captioning,Natural Language Processing,5,25,40996
Document AI,Computer Vision,5,40,54472
Diffusion MRI,Graphs,5,212,12318
"Initial Structure to Relaxed Energy (IS2RE), Direct",General,5,7,114234
3D dense captioning,Computer Vision,5,25,54472
Robot Manipulation Generalization,General,5,19,114234
Sound Source Localization,Graphs,5,104,12318
Template Matching,Natural Language Processing,5,219,40996
Odd One Out,General,5,21,114234
Cross-Domain Few-Shot Object Detection,Natural Language Processing,5,17,40996
Hypergraph representations,Graphs,5,11,12318
3D Multi-Person Pose Estimation,Natural Language Processing,5,62,40996
Nested Named Entity Recognition,Graphs,5,77,12318
Demosaicking,Natural Language Processing,5,149,40996
Event Causality Identification,General,5,25,114234
Event Causality Identification,Natural Language Processing,5,25,40996
Burst Image Super-Resolution,General,5,15,114234
Lightweight Deployment,General,5,15,114234
Zero-shot Named Entity Recognition (NER),General,5,11,114234
MRI segmentation,Graphs,5,177,12318
Exemplar-Free Counting,General,5,9,114234
Action Spotting,Computer Vision,5,33,54472
Gloss-free Sign Language Translation,Computer Vision,5,20,54472
text annotation,Computer Vision,5,125,54472
Long Term Action Anticipation,Natural Language Processing,5,22,40996
Traffic Signal Control,Graphs,5,201,12318
Zero-Shot Instance Segmentation,General,5,13,114234
Text Infilling,Computer Vision,5,42,54472
Partial Label Learning,Natural Language Processing,5,85,40996
statistical independence testing,General,5,6,114234
Open-vocabulary object detection,Graphs,5,121,12318
Open Vocabulary Object Detection,Graphs,5,145,12318
Hierarchical Reinforcement Learning,Graphs,5,382,12318
User Identification,Graphs,5,76,12318
Gloss-free Sign Language Translation,General,5,20,114234
Handwritten Mathmatical Expression Recognition,General,5,16,114234
Arithmetic Reasoning,Computer Vision,5,175,54472
Infrared And Visible Image Fusion,Graphs,5,83,12318
